y_sym,X_sym,period,start_date,end_date,beta,r2
NFLX,NQ,day,20251001,20251022,0.5983402020409299,0.1332592680525668
NFLX,NQ,night,20251001,20251022,2.0159032826228507,0.0468354375095203
CRCL,NQ,morning,20251001,20251022,0.9430087217578264,0.0346056529476626
CRCL,NQ,day,20251001,20251022,1.937170159978285,0.1900282115509836
CRCL,NQ,night,20251001,20251022,0.3629810901901493,0.0071209961027119
MSTR,NQ,morning,20251001,20251022,1.2585218909204687,0.0850326653401527
MSTR,NQ,day,20251001,20251022,1.7369930000815152,0.2745150756016608
MSTR,NQ,night,20251001,20251022,0.3225720298146195,0.0050894569819849
SNDK,NQ,morning,20251001,20251022,0.2724302101648028,0.0015736300309017
SNDK,NQ,day,20251001,20251022,1.4176531928481777,0.0975044245402988
SNDK,NQ,night,20251001,20251022,-0.4442405590563318,0.0035085223723255
MU,NQ,morning,20251001,20251022,1.333276711519171,0.0846930048236915
MU,NQ,day,20251001,20251022,1.7191561904804948,0.329609166474455
MU,NQ,night,20251001,20251022,-0.1595453851386319,0.0022304266290579
TSLA,BTC,morning,20251001,20251022,0.1133238911685127,0.0103382851611957
TSLA,BTC,day,20251001,20251022,0.4958456965421677,0.1020586261531476
TSLA,BTC,night,20251001,20251022,0.071193722938565,0.0103866698712249
NVDA,BTC,morning,20251001,20251022,0.153917596728202,0.0240156223925691
NVDA,BTC,day,20251001,20251022,0.3841375669841413,0.1312581726775412
NVDA,BTC,night,20251001,20251022,0.0055255187859173,0.0001209363488916
HOOD,BTC,morning,20251001,20251022,0.296427460647103,0.0307133204480921
HOOD,BTC,day,20251001,20251022,0.65235167627853,0.1454619448310725
HOOD,BTC,night,20251001,20251022,0.0728379158703032,0.0030627848137865
INTC,BTC,morning,20251001,20251022,0.1811579735629114,0.0112175317633108
INTC,BTC,day,20251001,20251022,0.4868843839359172,0.0804985488163134
INTC,BTC,night,20251001,20251022,0.0623668758797687,0.0030474397708305
PLTR,BTC,morning,20251001,20251022,0.1990906286768552,0.0277334810281415
PLTR,BTC,day,20251001,20251022,0.521836484155005,0.1256748452946499
PLTR,BTC,night,20251001,20251022,0.0222905397371635,0.0007678159669174
COIN,BTC,morning,20251001,20251022,0.4936194156666894,0.0987289835049748
COIN,BTC,day,20251001,20251022,0.8792655236622849,0.2469391913367035
COIN,BTC,night,20251001,20251022,0.1667138148112963,0.0232623415999091
META,BTC,morning,20251001,20251022,0.09168445326279,0.0068803766940003
META,BTC,day,20251001,20251022,0.2716588867875547,0.0976066643325898
META,BTC,night,20251001,20251022,0.0475559481220816,0.0061280290945282
AAPL,BTC,morning,20251001,20251022,0.1104623971015421,0.0140304414674807
AAPL,BTC,day,20251001,20251022,0.2136324082103727,0.0761571634195784
AAPL,BTC,night,20251001,20251022,0.0289947444276642,0.0020596345824305
MSFT,BTC,morning,20251001,20251022,0.0903364597572574,0.0091079969879432
MSFT,BTC,day,20251001,20251022,0.1839880169922783,0.0833902452341562
MSFT,BTC,night,20251001,20251022,0.0577806897123771,0.0095109610320913
ORCL,BTC,morning,20251001,20251022,0.0717333323337499,0.0022350030788534
ORCL,BTC,day,20251001,20251022,0.4008695240125529,0.0689359745603381
ORCL,BTC,night,20251001,20251022,0.1008316076947073,0.0107780228859126
GOOGL,BTC,morning,20251001,20251022,0.1226823502061232,0.0131154434188178
GOOGL,BTC,day,20251001,20251022,0.2725832550048696,0.0859590946014131
GOOGL,BTC,night,20251001,20251022,-0.0183162465142177,0.0006235846545846
AMZN,BTC,morning,20251001,20251022,0.0908041892982202,0.0103585457180702
AMZN,BTC,day,20251001,20251022,0.2731621169160621,0.1059947116461615
AMZN,BTC,night,20251001,20251022,0.0591024973587832,0.0097219042347128
AMD,BTC,morning,20251001,20251022,0.2199413361147514,0.0135450422179521
AMD,BTC,day,20251001,20251022,0.5304253757943317,0.0944070704904632
AMD,BTC,night,20251001,20251022,0.0163717810301697,0.0003034611874386
COST,BTC,morning,20251001,20251022,0.3872774420607215,0.1002824378380156
COST,BTC,day,20251001,20251022,0.0525600235892284,0.0062656360239201
