variant,max_pos,max_back_levels,rung_spacing_mult,place_thresh,pred_momentum_coef,curv_impulse_coef,premium_ema_coef,premium_tdc_s,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
75,24,3,1,5e-05,0.5,0,0.2,30,1,2532.62,2593.84,61.22,0.73,756,3499.80
76,8,6,1,5e-05,0.5,0,0.2,30,1,2724.49,2792.28,67.79,0.99,838,4879.74
77,10,6,1,5e-05,0.5,0,0.2,30,1,2604.09,2673.03,68.94,0.84,852,3939.02
78,16,6,1,5e-05,0.5,0,0.2,30,1,2831.62,2900.80,69.18,0.80,853,4082.97
79,24,6,1,5e-05,0.5,0,0.2,30,1,2743.69,2812.89,69.20,0.78,855,3775.94
80,8,10,1,5e-05,0.5,0,0.2,30,1,2676.71,2745.12,68.41,0.99,846,4998.99
81,10,10,1,5e-05,0.5,0,0.2,30,1,2744.90,2813.90,69.00,0.86,855,4067.56
82,16,10,1,5e-05,0.5,0,0.2,30,1,2798.23,2868.11,69.88,0.78,865,3846.36
83,24,10,1,5e-05,0.5,0,0.2,30,1,2765.59,2835.45,69.86,0.79,862,3943.98
84,8,3,2,5e-05,0.5,0,0.2,30,1,2438.53,2498.19,59.67,0.89,740,3651.55
85,10,3,2,5e-05,0.5,0,0.2,30,1,2516.54,2576.87,60.34,0.80,749,3408.13
86,16,3,2,5e-05,0.5,0,0.2,30,1,2582.40,2643.19,60.79,0.72,754,3369.23
87,24,3,2,5e-05,0.5,0,0.2,30,1,2510.93,2571.52,60.60,0.71,754,3165.28
88,8,6,2,5e-05,0.5,0,0.2,30,1,2561.00,2624.59,63.59,0.95,787,3894.43
89,10,6,2,5e-05,0.5,0,0.2,30,1,2578.59,2643.37,64.78,0.81,801,3623.38
90,16,6,2,5e-05,0.5,0,0.2,30,1,2616.74,2681.52,64.78,0.75,803,3479.33
91,24,6,2,5e-05,0.5,0,0.2,30,1,2676.28,2741.26,64.98,0.73,803,3580.90
92,8,10,2,5e-05,0.5,0,0.2,30,1,2558.43,2622.05,63.62,0.90,787,3856.06
93,10,10,2,5e-05,0.5,0,0.2,30,1,2619.23,2684.00,64.77,0.83,802,3788.47
94,16,10,2,5e-05,0.5,0,0.2,30,1,2787.68,2853.00,65.32,0.79,807,3689.68
95,24,10,2,5e-05,0.5,0,0.2,30,1,2767.13,2832.35,65.22,0.75,809,3504.70
96,8,3,4,5e-05,0.5,0,0.2,30,1,2350.21,2407.49,57.28,0.82,709,3352.82
97,10,3,4,5e-05,0.5,0,0.2,30,1,2435.88,2493.89,58.02,0.76,720,3280.40
98,16,3,4,5e-05,0.5,0,0.2,30,1,2474.35,2532.75,58.40,0.72,727,2559.31
99,24,3,4,5e-05,0.5,0,0.2,30,1,2547.35,2605.71,58.36,0.70,725,3240.96
100,8,6,4,5e-05,0.5,0,0.2,30,1,2315.19,2374.34,59.15,0.80,730,2720.20
101,10,6,4,5e-05,0.5,0,0.2,30,1,2439.18,2499.34,60.16,0.75,743,3412.96
102,16,6,4,5e-05,0.5,0,0.2,30,1,2578.58,2639.04,60.47,0.69,745,3247.63
103,24,6,4,5e-05,0.5,0,0.2,30,1,2574.73,2635.09,60.37,0.67,745,3220.35
104,8,10,4,5e-05,0.5,0,0.2,30,1,2436.84,2495.66,58.82,0.85,731,4082.77
105,10,10,4,5e-05,0.5,0,0.2,30,1,2469.15,2528.48,59.34,0.79,739,3403.15
106,16,10,4,5e-05,0.5,0,0.2,30,1,2551.46,2611.93,60.47,0.69,746,3305.09
107,24,10,4,5e-05,0.5,0,0.2,30,1,2588.08,2648.47,60.39,0.69,744,3395.64
108,8,3,1,0.0001,0.5,0,0.2,30,1,2240.05,2284.41,44.37,1.05,558,4252.10
109,10,3,1,0.0001,0.5,0,0.2,30,1,2267.78,2311.91,44.12,0.94,553,4195.14
110,16,3,1,0.0001,0.5,0,0.2,30,1,2252.80,2296.88,44.08,0.92,555,3989.35
111,24,3,1,0.0001,0.5,0,0.2,30,1,2236.29,2280.67,44.38,0.91,554,3433.08
112,8,6,1,0.0001,0.5,0,0.2,30,1,2410.16,2457.15,46.99,1.02,585,4753.50
113,10,6,1,0.0001,0.5,0,0.2,30,1,2447.14,2494.44,47.30,1.01,588,4939.55
114,16,6,1,0.0001,0.5,0,0.2,30,1,2578.81,2626.29,47.48,1.03,591,5065.76
115,24,6,1,0.0001,0.5,0,0.2,30,1,2445.25,2492.50,47.24,0.98,590,4625.55
116,8,10,1,0.0001,0.5,0,0.2,30,1,2350.71,2397.88,47.17,1.06,591,4607.83
117,10,10,1,0.0001,0.5,0,0.2,30,1,2552.86,2600.16,47.30,1.05,588,5227.75
118,16,10,1,0.0001,0.5,0,0.2,30,1,2486.81,2534.47,47.66,0.98,593,4014.75
119,24,10,1,0.0001,0.5,0,0.2,30,1,2559.84,2607.61,47.77,1.00,593,4927.65
120,8,3,2,0.0001,0.5,0,0.2,30,1,2086.39,2128.52,42.13,0.90,529,3437.59
121,10,3,2,0.0001,0.5,0,0.2,30,1,2202.37,2244.78,42.41,0.93,531,3940.50
122,16,3,2,0.0001,0.5,0,0.2,30,1,2238.51,2280.95,42.44,0.92,532,3875.96
123,24,3,2,0.0001,0.5,0,0.2,30,1,2157.03,2199.26,42.23,0.89,532,3176.23
124,8,6,2,0.0001,0.5,0,0.2,30,1,2220.59,2264.08,43.49,1.00,548,4184.91
125,10,6,2,0.0001,0.5,0,0.2,30,1,2215.74,2259.39,43.65,0.92,546,3877.43
126,16,6,2,0.0001,0.5,0,0.2,30,1,2364.41,2408.38,43.96,0.91,549,4216.86
127,24,6,2,0.0001,0.5,0,0.2,30,1,2400.45,2444.23,43.78,0.93,544,4294.88
128,8,10,2,0.0001,0.5,0,0.2,30,1,2198.07,2241.51,43.44,0.99,544,3915.47
129,10,10,2,0.0001,0.5,0,0.2,30,1,2177.22,2221.06,43.83,0.92,547,3852.43
130,16,10,2,0.0001,0.5,0,0.2,30,1,2277.21,2321.30,44.10,0.94,550,4270.91
131,24,10,2,0.0001,0.5,0,0.2,30,1,2294.89,2338.92,44.03,0.95,548,3658.65
132,8,3,4,0.0001,0.5,0,0.2,30,1,1784.43,1819.54,35.12,0.94,426,3028.94
133,10,3,4,0.0001,0.5,0,0.2,30,1,1728.88,1764.48,35.59,0.82,430,3024.45
134,16,3,4,0.0001,0.5,0,0.2,30,1,1857.67,1893.16,35.49,0.84,431,3164.73
135,24,3,4,0.0001,0.5,0,0.2,30,1,1845.77,1881.13,35.36,0.81,427,3042.97
136,8,6,4,0.0001,0.5,0,0.2,30,1,1698.69,1734.37,35.67,0.86,432,2944.52
137,10,6,4,0.0001,0.5,0,0.2,30,1,1742.82,1778.53,35.71,0.87,433,2823.41
138,16,6,4,0.0001,0.5,0,0.2,30,1,1790.14,1826.03,35.88,0.79,430,2897.95
139,24,6,4,0.0001,0.5,0,0.2,30,1,1866.78,1902.90,36.12,0.92,434,3357.55
140,8,10,4,0.0001,0.5,0,0.2,30,1,1674.78,1710.07,35.28,0.84,427,2713.87
