variant,place_thresh,cancel_buffer,pred_momentum_coef,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
129,0.0003,0.3,0.5,0.5,1379.27,1384.94,5.68,1.30,278,2688.93
130,0.0004,0.3,0.5,0.5,1178.61,1182.45,3.84,1.19,188,2330.01
131,0.0005,0.3,0.5,0.5,1020.15,1023.15,3.00,1.26,138,1880.36
132,0.00025,0.1,1,0.5,1417.90,1424.18,6.28,1.54,326,2940.53
133,0.0003,0.1,1,0.5,1491.05,1496.30,5.25,1.29,265,3053.84
134,0.0004,0.1,1,0.5,1248.60,1252.38,3.77,1.09,180,1938.37
135,0.0005,0.1,1,0.5,930.45,933.42,2.97,1.24,134,1676.00
136,0.00025,0.2,1,0.5,1493.78,1500.23,6.45,1.51,326,3016.25
137,0.0003,0.2,1,0.5,1240.76,1245.88,5.12,1.57,265,2614.34
138,0.0004,0.2,1,0.5,1207.55,1211.44,3.89,1.26,187,1971.47
139,0.0005,0.2,1,0.5,995.30,998.16,2.86,1.16,132,1512.51
140,0.00025,0.3,1,0.5,1440.32,1446.83,6.51,1.48,337,2888.44
141,0.0003,0.3,1,0.5,1314.42,1319.66,5.23,1.43,265,2798.72
142,0.0004,0.3,1,0.5,1269.74,1273.72,3.98,1.07,195,2027.46
143,0.0005,0.3,1,0.5,883.82,886.52,2.70,1.27,128,1943.25
144,0.00025,0.1,0,1,1186.00,1193.53,7.52,1.51,394,2323.17
145,0.0003,0.1,0,1,1094.50,1100.40,5.90,1.69,297,2170.48
146,0.0004,0.1,0,1,1055.19,1059.23,4.04,1.21,203,1662.94
147,0.0005,0.1,0,1,902.79,905.78,2.99,1.41,140,1707.14
148,0.00025,0.2,0,1,1221.63,1229.31,7.69,1.84,400,2559.25
149,0.0003,0.2,0,1,1030.80,1037.06,6.26,1.67,321,1991.20
150,0.0004,0.2,0,1,1074.19,1078.53,4.34,1.47,206,1985.93
151,0.0005,0.2,0,1,990.86,993.94,3.09,1.19,142,1631.22
152,0.00025,0.3,0,1,1237.87,1245.56,7.69,1.63,407,2421.11
153,0.0003,0.3,0,1,1086.89,1093.15,6.26,1.69,320,2388.21
154,0.0004,0.3,0,1,966.40,970.79,4.39,1.62,216,1908.39
155,0.0005,0.3,0,1,879.72,882.71,2.99,1.29,135,2046.14
