variant,place_thresh,cancel_buffer,pred_momentum_coef,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
164,0.00025,0.3,0.2,1,2086.40,2102.70,16.30,3.20,466,6071.77
165,0.0003,0.3,0.2,1,1826.49,1840.19,13.71,3.37,386,5077.80
166,0.0004,0.3,0.2,1,1448.80,1458.86,10.06,2.94,277,4206.79
167,0.0005,0.3,0.2,1,1350.55,1358.20,7.65,2.88,208,3406.90
168,0.00025,0.1,0.5,1,1986.76,2001.33,14.57,3.19,409,5957.05
169,0.0003,0.1,0.5,1,1829.55,1841.64,12.09,3.77,337,5704.14
170,0.0004,0.1,0.5,1,1450.95,1460.03,9.08,2.76,249,3915.48
171,0.0005,0.1,0.5,1,1317.88,1325.11,7.23,2.67,190,4249.00
172,0.00025,0.2,0.5,1,1941.96,1956.68,14.72,3.71,414,5753.52
173,0.0003,0.2,0.5,1,1816.03,1828.52,12.48,2.88,337,5711.22
174,0.0004,0.2,0.5,1,1540.37,1549.87,9.50,3.00,255,5161.66
175,0.0005,0.2,0.5,1,1421.54,1428.97,7.43,2.84,198,4822.93
176,0.00025,0.3,0.5,1,2005.11,2020.12,15.02,3.65,421,6076.54
177,0.0003,0.3,0.5,1,1877.69,1890.53,12.83,3.29,361,5911.04
178,0.0004,0.3,0.5,1,1616.15,1625.30,9.15,2.91,250,5051.10
179,0.0005,0.3,0.5,1,1432.56,1440.19,7.63,2.72,193,4858.70
180,0.00025,0.1,1,1,1813.95,1827.88,13.93,3.08,391,5762.45
181,0.0003,0.1,1,1,1751.31,1762.98,11.67,2.71,319,5841.84
182,0.0004,0.1,1,1,1478.40,1487.30,8.91,2.47,234,4598.07
183,0.0005,0.1,1,1,1241.97,1248.89,6.92,2.51,186,3808.95
184,0.00025,0.2,1,1,2150.22,2164.32,14.10,2.94,384,7223.73
185,0.0003,0.2,1,1,1710.33,1722.21,11.88,3.20,325,5451.99
186,0.0004,0.2,1,1,1511.08,1520.04,8.95,2.92,241,4831.22
187,0.0005,0.2,1,1,1296.02,1303.14,7.12,2.70,188,3774.37
188,0.00025,0.3,1,1,1852.69,1866.71,14.03,2.54,394,5180.53
189,0.0003,0.3,1,1,1689.59,1701.60,12.00,2.65,334,5546.24
190,0.0004,0.3,1,1,1564.85,1574.17,9.32,3.46,247,4923.87
191,0.0005,0.3,1,1,1380.74,1388.37,7.63,2.33,193,4291.97
