variant  place_thresh  max_pos  rung_spacing_mult  cancel_buffer  curv_impulse_coef  per_order_widen_frac  avg_pnl  avg_closed_pnl  avg_comm  sharpe  num_trds  sim_score
71       0.0003        800      1.5                0.1            1                  0.25                  1991.54  1998.73         7.20      1.30    359       3860.10
60       0.00025       400      2.5                0.1            0                  0.25                  1299.01  1308.08         9.07      2.16    450       3871.45
70       0.00025       800      1.5                0.1            1                  0.25                  1995.92  2004.74         8.82      1.39    453       3909.86
4        0.00025       400      1.5                0.1            0                  0.1                   1442.05  1454.95         12.90     2.18    658       3990.60
6        0.00025       800      1.5                0.1            0                  0.1                   1678.53  1688.82         10.29     0.83    505       4058.99
23       0.0003        800      1.5                0.1            1                  0.1                   1841.62  1849.32         7.70      1.62    386       4308.55
14       0.00025       800      2.5                0.1            0                  0.1                   1685.83  1695.49         9.66      1.16    477       4389.99
22       0.00025       800      1.5                0.1            1                  0.1                   1870.97  1880.77         9.80      1.78    488       4651.33
62       0.00025       800      2.5                0.1            0                  0.25                  1745.13  1754.22         9.10      1.71    449       4797.08
55       0.0003        800      1.5                0.1            0                  0.25                  1835.27  1845.22         9.95      2.95    501       5093.51
54       0.00025       800      1.5                0.1            0                  0.25                  1934.94  1946.99         12.05     2.43    615       5194.34
