variant  place_thresh  max_pos  max_back_levels  cross_thresh  cross_limit_maxpos_frac  cancel_buffer  premium_ema_coef  pred_momentum_coef  curv_impulse_coef  per_order_widen_frac  avg_pnl  avg_closed_pnl  avg_comm  sharpe  num_trds  sim_score
316      0.00025       400      10               0.003         0.4                      0.1            0.2               0                   0                  0.5                   3311.97  3342.32         30.35     2.16    806       7947.48
389      0.0003        400      10               0.003         0.1                      0.1            0.8               0                   0                  0.5                   3184.44  3209.89         25.45     2.11    680       7975.56
426      0.00025       400      4                0.0045        0.4                      0.1            0.8               0                   0                  0.5                   2935.29  2962.88         27.59     3.01    798       7988.43
137      0.0003        400      10               0.003         0.2                      0.1            0.5               0                   0                  0.35                  3318.56  3345.55         26.99     2.31    719       7995.26
247      0.0003        400      4                0.0045        0.2                      0.1            0                 0                   0                  0.5                   2990.00  3013.22         23.21     3.32    670       8031.53
407      0.0003        400      10               0.003         0.2                      0.1            0.8               0                   0                  0.5                   3365.61  3391.16         25.56     2.10    677       8058.89
279      0.0003        400      7                0.003         0.1                      0.1            0.2               0                   0                  0.5                   3158.06  3182.70         24.64     2.23    672       8089.73
138      0.00025       400      4                0.0045        0.2                      0.1            0.5               0                   0                  0.35                  3236.27  3264.37         28.10     3.42    820       8111.28
65       0.0003        400      10               0.003         0.1                      0.1            0.2               0                   0                  0.35                  3184.79  3211.32         26.54     3.14    712       8120.92
96       0.00025       400      4                0.003         0.4                      0.1            0.2               0                   0                  0.35                  2713.83  2744.86         31.03     2.54    834       8139.03
119      0.0003        400      10               0.003         0.1                      0.1            0.5               0                   0                  0.35                  3120.80  3147.25         26.45     3.53    709       8143.27
330      0.00025       400      4                0.003         0.1                      0.1            0.5               0                   0                  0.5                   2933.29  2962.02         28.73     2.61    798       8156.22
265      0.0003        400      4                0.0045        0.4                      0.1            0                 0                   0                  0.5                   2889.59  2912.79         23.20     2.37    669       8158.70
301      0.0003        400      4                0.0045        0.2                      0.1            0.2               0                   0                  0.5                   2982.82  3006.08         23.27     2.92    666       8164.71
186      0.00025       400      4                0.003         0.2                      0.1            0.8               0                   0                  0.35                  2790.27  2820.60         30.34     2.80    836       8182.57
355      0.0003        400      4                0.0045        0.2                      0.1            0.5               0                   0                  0.5                   2902.36  2925.68         23.32     3.07    673       8184.11
169      0.0003        400      4                0.003         0.1                      0.1            0.8               0                   0                  0.35                  3017.82  3044.17         26.35     3.11    714       8197.42
222      0.00025       400      4                0.003         0.1                      0.1            0                 0                   0                  0.5                   2868.98  2897.37         28.38     2.77    797       8214.92
361      0.0003        400      4                0.0015        0.4                      0.1            0.5               0                   0                  0.5                   3435.37  3496.72         61.35     1.45    1022      8215.74
276      0.00025       400      4                0.003         0.1                      0.1            0.2               0                   0                  0.5                   2779.30  2807.69         28.39     2.31    792       8221.89
409      0.0003        400      4                0.0045        0.2                      0.1            0.8               0                   0                  0.5                   2950.34  2973.47         23.13     2.60    670       8225.50
289      0.0003        400      4                0.0015        0.2                      0.1            0.2               0                   0                  0.5                   3356.60  3407.95         51.35     1.78    952       8333.49
318      0.00025       400      4                0.0045        0.4                      0.1            0.2               0                   0                  0.5                   2829.87  2856.51         26.64     2.82    770       8337.77
281      0.0003        400      10               0.003         0.1                      0.1            0.2               0                   0                  0.5                   3312.20  3337.08         24.88     2.13    677       8340.44
174      0.00025       400      4                0.0045        0.1                      0.1            0.8               0                   0                  0.35                  3156.75  3185.24         28.49     3.54    829       8354.41
379      0.0003        400      4                0.0015        0.1                      0.1            0.8               0                   0                  0.5                   3406.79  3452.86         46.07     2.03    901       8355.60
103      0.0003        400      4                0.0045        0.4                      0.1            0.2               0                   0                  0.35                  2944.35  2968.66         24.31     4.33    698       8359.21
427      0.0003        400      4                0.0045        0.4                      0.1            0.8               0                   0                  0.5                   2996.59  3020.16         23.57     2.54    674       8399.44
393      0.0003        400      7                0.0045        0.1                      0.1            0.8               0                   0                  0.5                   3285.16  3308.68         23.52     2.53    671       8407.04
229      0.0003        400      4                0.0045        0.1                      0.1            0                 0                   0                  0.5                   3041.21  3064.63         23.42     2.83    674       8416.17
206      0.00025       400      7                0.003         0.4                      0.1            0.8               0                   0                  0.35                  3174.55  3205.62         31.08     3.25    832       8418.07
173      0.0003        400      10               0.003         0.1                      0.1            0.8               0                   0                  0.35                  3221.76  3247.84         26.08     3.04    708       8436.64
271      0.0003        400      4                0.0015        0.1                      0.1            0.2               0                   0                  0.5                   3469.26  3514.15         44.89     2.14    898       8437.05
24       0.00025       400      4                0.003         0.2                      0.1            0                 0                   0                  0.35                  2867.80  2897.64         29.84     2.96    833       8464.78
