variant  place_thresh  cancel_buffer  max_pos  max_back_levels  cross_thresh  cross_limit_maxpos_frac  premium_ema_coef  pred_momentum_coef  curv_impulse_coef  per_order_widen_frac  avg_pnl  avg_closed_pnl  avg_comm  sharpe  num_trds  sim_score
73       0.0003        0.1            80       4                0.0015        0.1                      0                 0                   0                  0.5                   795.01   813.67          18.66     1.96    682       1570.90
18       0.00025       0.1            80       4                0.0015        0.1                      0.2               0                   0                  0.25                  770.49   790.32          19.83     1.60    770       1605.84
108      0.00025       0.1            80       4                0.0015        0.1                      0.5               0                   0                  0.5                   836.90   856.10          19.20     1.79    741       1628.52
37       0.0003        0.1            80       4                0.0015        0.1                      0.5               0                   0                  0.25                  784.42   803.47          19.05     1.84    703       1654.78
1        0.0003        0.1            80       4                0.0015        0.1                      0                 0                   0                  0.25                  779.98   798.40          18.43     1.89    694       1663.77
0        0.00025       0.1            80       4                0.0015        0.1                      0                 0                   0                  0.25                  790.64   810.10          19.46     1.75    761       1666.72
138      0.00025       0.1            80       4                0.0015        0.4                      0.8               0                   0                  0.5                   840.20   862.15          21.95     1.59    729       1699.76
133      0.0003        0.1            80       4                0.0015        0.2                      0.8               0                   0                  0.5                   825.61   845.57          19.97     1.96    700       1702.70
115      0.0003        0.1            80       4                0.0015        0.2                      0.5               0                   0                  0.5                   825.92   846.58          20.67     1.98    718       1705.60
42       0.00025       0.1            80       4                0.0015        0.2                      0.5               0                   0                  0.25                  810.52   831.72          21.20     1.65    785       1718.19
114      0.00025       0.1            80       4                0.0015        0.2                      0.5               0                   0                  0.5                   864.89   885.78          20.89     1.81    780       1724.39
90       0.00025       0.1            80       4                0.0015        0.1                      0.2               0                   0                  0.5                   835.67   855.46          19.79     1.72    757       1729.99
12       0.00025       0.1            80       4                0.0015        0.4                      0                 0                   0                  0.25                  800.85   823.95          23.10     1.83    822       1730.23
85       0.0003        0.1            80       4                0.0015        0.4                      0                 0                   0                  0.5                   825.52   847.91          22.39     1.93    720       1733.18
72       0.00025       0.1            80       4                0.0015        0.1                      0                 0                   0                  0.5                   873.15   892.87          19.72     1.62    748       1733.65
127      0.0003        0.1            80       4                0.0015        0.1                      0.8               0                   0                  0.5                   840.45   858.94          18.49     1.73    684       1735.28
97       0.0003        0.1            80       4                0.0015        0.2                      0.2               0                   0                  0.5                   878.93   899.39          20.46     1.71    713       1740.18
25       0.0003        0.1            80       4                0.0015        0.2                      0.2               0                   0                  0.25                  832.26   852.51          20.26     1.75    724       1755.34
54       0.00025       0.1            80       4                0.0015        0.1                      0.8               0                   0                  0.25                  827.00   846.63          19.63     1.77    755       1756.05
91       0.0003        0.1            80       4                0.0015        0.1                      0.2               0                   0                  0.5                   846.77   865.40          18.63     2.04    680       1756.58
66       0.00025       0.1            80       4                0.0015        0.4                      0.8               0                   0                  0.25                  837.06   860.00          22.94     2.04    802       1770.88
48       0.00025       0.1            80       4                0.0015        0.4                      0.5               0                   0                  0.25                  856.12   879.90          23.78     2.02    834       1777.41
121      0.0003        0.1            80       4                0.0015        0.4                      0.5               0                   0                  0.5                   839.44   861.95          22.50     1.91    721       1794.52
31       0.0003        0.1            80       4                0.0015        0.4                      0.2               0                   0                  0.25                  847.12   870.44          23.32     1.86    775       1805.35
13       0.0003        0.1            80       4                0.0015        0.4                      0                 0                   0                  0.25                  794.30   817.51          23.20     2.27    776       1806.35
96       0.00025       0.1            80       4                0.0015        0.2                      0.2               0                   0                  0.5                   873.28   894.65          21.36     2.00    785       1812.99
103      0.0003        0.1            80       4                0.0015        0.4                      0.2               0                   0                  0.5                   866.49   889.21          22.72     2.03    734       1825.58
84       0.00025       0.1            80       4                0.0015        0.4                      0                 0                   0                  0.5                   809.70   832.53          22.83     1.64    776       1827.65
126      0.00025       0.1            80       4                0.0015        0.1                      0.8               0                   0                  0.5                   816.54   836.05          19.51     1.77    758       1836.08
60       0.00025       0.1            80       4                0.0015        0.2                      0.8               0                   0                  0.25                  871.75   892.78          21.04     1.74    788       1837.07
79       0.0003        0.1            80       4                0.0015        0.2                      0                 0                   0                  0.5                   861.07   881.02          19.95     1.89    705       1851.57
132      0.00025       0.1            80       4                0.0015        0.2                      0.8               0                   0                  0.5                   858.43   879.36          20.93     1.85    778       1853.91
109      0.0003        0.1            80       4                0.0015        0.1                      0.5               0                   0                  0.5                   827.36   846.16          18.80     2.11    685       1854.63
102      0.00025       0.1            80       4                0.0015        0.4                      0.2               0                   0                  0.5                   894.35   917.68          23.32     1.88    791       1911.56
78       0.00025       0.1            80       4                0.0015        0.2                      0                 0                   0                  0.5                   858.60   879.78          21.18     2.00    781       1920.02
120      0.00025       0.1            80       4                0.0015        0.4                      0.5               0                   0                  0.5                   898.78   921.18          22.40     1.82    749       1943.19
67       0.0003        0.1            80       4                0.0015        0.4                      0.8               0                   0                  0.25                  846.59   869.21          22.61     2.03    750       1943.52
7        0.0003        0.1            80       4                0.0015        0.2                      0                 0                   0                  0.25                  863.23   883.36          20.13     2.05    719       1946.83
30       0.00025       0.1            80       4                0.0015        0.4                      0.2               0                   0                  0.25                  936.07   959.62          23.56     1.92    829       1955.10
61       0.0003        0.1            80       4                0.0015        0.2                      0.8               0                   0                  0.25                  809.29   829.54          20.25     2.13    727       1975.76
139      0.0003        0.1            80       4                0.0015        0.4                      0.8               0                   0                  0.5                   851.24   873.52          22.28     2.14    726       1978.38
49       0.0003        0.1            80       4                0.0015        0.4                      0.5               0                   0                  0.25                  844.82   866.76          21.94     1.78    712       1992.27
43       0.0003        0.1            80       4                0.0015        0.2                      0.5               0                   0                  0.25                  899.67   919.62          19.95     2.19    714       2127.71
