variant  place_thresh  max_pos  max_back_levels  cross_thresh  cross_limit_maxpos_frac  cancel_buffer  premium_ema_coef  curv_impulse_coef  per_order_widen_frac  avg_pnl  avg_closed_pnl  avg_comm  sharpe  num_trds  sim_score
230      0.00025       400      7                0.0045        0.1                      0.1            0                 0                  0.4                   1435.89  1447.02         11.13     2.41    582       3345.83
341      0.0003        400      10               0.0045        0.1                      0.1            0.5               0                  0.4                   1259.18  1268.45         9.27      2.75    472       3346.58
133      0.0003        400      4                0.003         0.2                      0.1            0.5               0                  0.25                  1373.22  1383.56         10.34     3.72    493       3351.67
323      0.0003        400      10               0.0045        0.4                      0.1            0.2               0                  0.4                   1303.03  1312.74         9.71      2.91    478       3354.21
373      0.0003        400      4                0.0045        0.4                      0.1            0.5               0                  0.4                   1300.72  1309.90         9.17      3.56    465       3362.09
173      0.0003        400      10               0.003         0.1                      0.1            0.8               0                  0.25                  1325.29  1335.63         10.34     3.06    504       3365.67
141      0.0003        400      7                0.0045        0.2                      0.1            0.5               0                  0.25                  1373.72  1383.64         9.92      3.12    496       3372.59
197      0.0003        400      10               0.0045        0.2                      0.1            0.8               0                  0.25                  1395.79  1405.65         9.86      3.14    499       3379.56
150      0.00025       400      4                0.003         0.4                      0.1            0.5               0                  0.25                  1376.61  1389.46         12.85     2.02    609       3382.76
215      0.0003        400      10               0.0045        0.4                      0.1            0.8               0                  0.25                  1338.82  1348.93         10.11     2.61    503       3387.00
297      0.0003        400      7                0.003         0.2                      0.1            0.2               0                  0.4                   1305.30  1315.56         10.27     2.23    482       3388.27
29       0.0003        400      10               0.003         0.2                      0.1            0                 0                  0.25                  1408.76  1419.18         10.43     2.65    498       3389.34
392      0.00025       400      7                0.0045        0.1                      0.1            0.8               0                  0.4                   1470.45  1481.72         11.27     2.36    576       3393.26
267      0.0003        400      7                0.0045        0.4                      0.1            0                 0                  0.4                   1279.56  1289.12         9.57      2.39    469       3394.00
332      0.00025       400      7                0.003         0.1                      0.1            0.5               0                  0.4                   1412.86  1424.87         12.00     2.29    589       3395.76
300      0.00025       400      4                0.0045        0.2                      0.1            0.2               0                  0.4                   1378.17  1389.33         11.16     2.82    570       3397.86
25       0.0003        400      4                0.003         0.2                      0.1            0                 0                  0.25                  1233.89  1244.03         10.14     2.77    492       3399.13
276      0.00025       400      4                0.003         0.1                      0.1            0.2               0                  0.4                   1387.85  1399.62         11.77     2.54    587       3403.81
303      0.0003        400      7                0.0045        0.2                      0.1            0.2               0                  0.4                   1239.64  1249.04         9.40      2.54    471       3408.50
321      0.0003        400      7                0.0045        0.4                      0.1            0.2               0                  0.4                   1285.10  1294.51         9.41      2.23    464       3423.40
35       0.0003        400      10               0.0045        0.2                      0.1            0                 0                  0.25                  1347.01  1356.94         9.93      2.47    500       3426.30
422      0.00025       400      7                0.003         0.4                      0.1            0.8               0                  0.4                   1477.74  1490.20         12.46     2.24    591       3427.79
14       0.00025       400      7                0.0045        0.1                      0.1            0                 0                  0.25                  1358.36  1369.98         11.62     2.43    604       3428.20
159      0.0003        400      7                0.0045        0.4                      0.1            0.5               0                  0.25                  1307.02  1316.95         9.93      2.24    497       3429.00
205      0.0003        400      4                0.003         0.4                      0.1            0.8               0                  0.25                  1383.47  1394.10         10.63     2.29    497       3432.50
389      0.0003        400      10               0.003         0.1                      0.1            0.8               0                  0.4                   1396.47  1406.44         9.97      2.70    482       3433.60
45       0.0003        400      7                0.003         0.4                      0.1            0                 0                  0.25                  1349.11  1359.98         10.87     2.33    509       3438.53
83       0.0003        400      10               0.003         0.2                      0.1            0.2               0                  0.25                  1387.04  1397.50         10.46     2.82    500       3439.69
280      0.00025       400      10               0.003         0.1                      0.1            0.2               0                  0.4                   1398.67  1410.63         11.97     2.58    594       3445.56
295      0.0003        400      4                0.003         0.2                      0.1            0.2               0                  0.4                   1273.67  1283.59         9.92      3.72    472       3455.12
179      0.0003        400      10               0.0045        0.1                      0.1            0.8               0                  0.25                  1310.78  1320.78         10.00     2.60    502       3464.99
245      0.0003        400      10               0.003         0.2                      0.1            0                 0                  0.4                   1350.51  1360.48         9.97      3.01    473       3473.34
304      0.00025       400      10               0.0045        0.2                      0.1            0.2               0                  0.4                   1509.12  1520.73         11.61     2.66    589       3473.69
240      0.00025       400      4                0.003         0.2                      0.1            0                 0                  0.4                   1334.34  1346.28         11.94     2.70    589       3474.11
134      0.00025       400      7                0.003         0.2                      0.1            0.5               0                  0.25                  1516.17  1528.90         12.73     2.31    618       3486.70
279      0.0003        400      7                0.003         0.1                      0.1            0.2               0                  0.4                   1309.58  1319.46         9.88      2.17    470       3490.61
277      0.0003        400      4                0.003         0.1                      0.1            0.2               0                  0.4                   1251.66  1261.10         9.44      3.21    466       3491.61
372      0.00025       400      4                0.0045        0.4                      0.1            0.5               0                  0.4                   1360.37  1371.78         11.40     3.07    575       3492.38
426      0.00025       400      4                0.0045        0.4                      0.1            0.8               0                  0.4                   1386.83  1398.16         11.33     2.61    575       3498.72
67       0.0003        400      4                0.0045        0.1                      0.1            0.2               0                  0.25                  1313.65  1322.86         9.21      3.18    491       3499.65
331      0.0003        400      4                0.003         0.1                      0.1            0.5               0                  0.4                   1308.55  1318.32         9.77      5.78    473       3507.76
251      0.0003        400      10               0.0045        0.2                      0.1            0                 0                  0.4                   1451.06  1460.50         9.43      2.95    473       3508.80
193      0.0003        400      4                0.0045        0.2                      0.1            0.8               0                  0.25                  1279.64  1289.10         9.46      3.27    486       3509.16
48       0.00025       400      4                0.0045        0.4                      0.1            0                 0                  0.25                  1346.88  1358.72         11.83     2.46    605       3511.42
409      0.0003        400      4                0.0045        0.2                      0.1            0.8               0                  0.4                   1309.96  1319.07         9.11      3.99    458       3520.93
158      0.00025       400      7                0.0045        0.4                      0.1            0.5               0                  0.25                  1362.64  1374.84         12.20     2.32    611       3522.00
187      0.0003        400      4                0.003         0.2                      0.1            0.8               0                  0.25                  1336.36  1346.51         10.15     2.71    490       3522.22
156      0.00025       400      4                0.0045        0.4                      0.1            0.5               0                  0.25                  1365.04  1376.97         11.93     2.20    601       3527.51
137      0.0003        400      10               0.003         0.2                      0.1            0.5               0                  0.25                  1412.70  1423.49         10.79     3.33    513       3527.87
302      0.00025       400      7                0.0045        0.2                      0.1            0.2               0                  0.4                   1458.02  1469.57         11.55     2.45    582       3529.39
387      0.0003        400      7                0.003         0.1                      0.1            0.8               0                  0.4                   1318.07  1327.76         9.69      2.59    472       3534.68
358      0.00025       400      10               0.0045        0.2                      0.1            0.5               0                  0.4                   1435.32  1446.88         11.55     2.74    588       3541.82
319      0.0003        400      4                0.0045        0.4                      0.1            0.2               0                  0.4                   1292.17  1301.26         9.09      4.46    463       3544.96
80       0.00025       400      7                0.003         0.2                      0.1            0.2               0                  0.25                  1405.61  1418.24         12.63     2.32    619       3548.15
152      0.00025       400      7                0.003         0.4                      0.1            0.5               0                  0.25                  1412.62  1425.62         13.01     2.48    613       3554.93
132      0.00025       400      4                0.003         0.2                      0.1            0.5               0                  0.25                  1451.95  1464.47         12.52     2.41    614       3559.18
349      0.0003        400      4                0.003         0.2                      0.1            0.5               0                  0.4                   1277.92  1287.87         9.95      3.17    469       3561.46
281      0.0003        400      10               0.003         0.1                      0.1            0.2               0                  0.4                   1319.01  1328.84         9.83      3.65    479       3561.63
188      0.00025       400      7                0.003         0.2                      0.1            0.8               0                  0.25                  1286.54  1299.02         12.49     1.91    615       3563.47
104      0.00025       400      7                0.0045        0.4                      0.1            0.2               0                  0.25                  1438.75  1450.85         12.10     2.18    609       3565.07
225      0.0003        400      7                0.003         0.1                      0.1            0                 0                  0.4                   1258.87  1268.64         9.76      2.07    477       3568.79
403      0.0003        400      4                0.003         0.2                      0.1            0.8               0                  0.4                   1330.64  1340.47         9.83      4.90    470       3572.43
116      0.00025       400      7                0.003         0.1                      0.1            0.5               0                  0.25                  1442.75  1455.23         12.48     2.10    621       3578.63
269      0.0003        400      10               0.0045        0.4                      0.1            0                 0                  0.4                   1338.54  1348.14         9.60      2.89    476       3587.59
101      0.0003        400      10               0.003         0.4                      0.1            0.2               0                  0.25                  1402.23  1413.25         11.02     2.55    511       3592.74
34       0.00025       400      10               0.0045        0.2                      0.1            0                 0                  0.25                  1398.80  1410.70         11.89     2.92    608       3603.27
155      0.0003        400      10               0.003         0.4                      0.1            0.5               0                  0.25                  1432.74  1443.76         11.02     2.67    513       3606.24
421      0.0003        400      4                0.003         0.4                      0.1            0.8               0                  0.4                   1438.48  1448.90         10.43     3.65    483       3606.66
405      0.0003        400      7                0.003         0.2                      0.1            0.8               0                  0.4                   1305.40  1315.49         10.10     2.42    482       3626.36
157      0.0003        400      4                0.0045        0.4                      0.1            0.5               0                  0.25                  1357.79  1367.43         9.64      3.54    483       3628.65
356      0.00025       400      7                0.0045        0.2                      0.1            0.5               0                  0.4                   1441.42  1452.85         11.43     3.02    584       3632.15
44       0.00025       400      7                0.003         0.4                      0.1            0                 0                  0.25                  1438.91  1451.86         12.96     2.55    614       3648.02
16       0.00025       400      10               0.0045        0.1                      0.1            0                 0                  0.25                  1462.68  1474.54         11.86     2.71    612       3651.30
222      0.00025       400      4                0.003         0.1                      0.1            0                 0                  0.4                   1403.19  1414.79         11.60     2.69    580       3653.94
175      0.0003        400      4                0.0045        0.1                      0.1            0.8               0                  0.25                  1173.99  1183.52         9.53      2.70    489       3659.43
210      0.00025       400      4                0.0045        0.4                      0.1            0.8               0                  0.25                  1322.99  1334.84         11.85     2.16    599       3664.47
50       0.00025       400      7                0.0045        0.4                      0.1            0                 0                  0.25                  1392.26  1404.44         12.18     1.97    609       3666.62
233      0.0003        400      10               0.0045        0.1                      0.1            0                 0                  0.4                   1350.81  1360.20         9.40      3.25    475       3668.08
241      0.0003        400      4                0.003         0.2                      0.1            0                 0                  0.4                   1339.40  1349.35         9.95      4.32    475       3672.52
348      0.00025       400      4                0.003         0.2                      0.1            0.5               0                  0.4                   1417.76  1429.70         11.93     2.72    582       3681.97
103      0.0003        400      4                0.0045        0.4                      0.1            0.2               0                  0.25                  1263.08  1272.64         9.56      3.36    485       3685.11
122      0.00025       400      7                0.0045        0.1                      0.1            0.5               0                  0.25                  1427.24  1438.98         11.73     2.57    601       3688.64
85       0.0003        400      4                0.0045        0.2                      0.1            0.2               0                  0.25                  1315.31  1324.88         9.56      2.73    488       3694.40
47       0.0003        400      10               0.003         0.4                      0.1            0                 0                  0.25                  1392.52  1403.51         10.99     2.54    512       3707.95
259      0.0003        400      4                0.003         0.4                      0.1            0                 0                  0.4                   1385.55  1395.73         10.18     4.80    472       3710.71
320      0.00025       400      7                0.0045        0.4                      0.1            0.2               0                  0.4                   1411.24  1423.00         11.76     2.61    591       3711.84
178      0.00025       400      10               0.0045        0.1                      0.1            0.8               0                  0.25                  1488.28  1500.33         12.05     2.62    615       3713.41
65       0.0003        400      10               0.003         0.1                      0.1            0.2               0                  0.25                  1436.21  1446.91         10.70     2.95    506       3715.67
226      0.00025       400      10               0.003         0.1                      0.1            0                 0                  0.4                   1452.14  1464.24         12.10     2.92    595       3717.27
250      0.00025       400      10               0.0045        0.2                      0.1            0                 0                  0.4                   1447.53  1459.23         11.70     2.52    591       3718.23
119      0.0003        400      10               0.003         0.1                      0.1            0.5               0                  0.25                  1395.82  1406.28         10.47     3.13    510       3718.84
369      0.0003        400      7                0.003         0.4                      0.1            0.5               0                  0.4                   1341.51  1352.18         10.67     2.62    484       3719.31
266      0.00025       400      7                0.0045        0.4                      0.1            0                 0                  0.4                   1443.54  1455.14         11.60     2.41    582       3723.30
340      0.00025       400      10               0.0045        0.1                      0.1            0.5               0                  0.4                   1449.47  1460.76         11.29     2.70    590       3726.91
189      0.0003        400      7                0.003         0.2                      0.1            0.8               0                  0.25                  1308.03  1318.63         10.60     2.79    505       3746.12
11       0.0003        400      10               0.003         0.1                      0.1            0                 0                  0.25                  1311.99  1322.38         10.40     2.98    507       3748.99
431      0.0003        400      10               0.0045        0.4                      0.1            0.8               0                  0.4                   1375.34  1384.87         9.53      3.12    477       3753.56
111      0.0003        400      7                0.0015        0.1                      0.1            0.5               0                  0.25                  1386.02  1408.35         22.34     2.45    674       3770.34
427      0.0003        400      4                0.0045        0.4                      0.1            0.8               0                  0.4                   1379.49  1388.80         9.32      5.01    466       3773.35
