variant,place_thresh,cancel_buffer,max_pos,max_back_levels,order_decrease_coef,cross_thresh,cross_limit_maxpos_frac,premium_ema_coef,pred_momentum_coef,curv_impulse_coef,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
96,0.000175,0.1,80,4,0.2,0.003,0.2,0,0,0,0.25,576.52,586.45,9.92,1.49,607,1134.78
97,0.000225,0.1,80,4,0.2,0.003,0.2,0,0,0,0.25,491.23,500.19,8.97,1.27,543,1019.52
98,0.00025,0.1,80,4,0.2,0.003,0.2,0,0,0,0.25,458.60,467.12,8.53,1.29,507,864.63
99,0.0003,0.1,80,4,0.2,0.003,0.2,0,0,0,0.25,515.37,523.00,7.62,1.33,462,1082.18
100,0.000175,0.1,80,8,0.2,0.003,0.2,0,0,0,0.25,532.96,542.91,9.95,1.22,602,997.74
101,0.000225,0.1,80,8,0.2,0.003,0.2,0,0,0,0.25,540.05,549.02,8.97,1.30,535,1038.39
102,0.00025,0.1,80,8,0.2,0.003,0.2,0,0,0,0.25,538.06,546.46,8.40,1.24,506,1059.18
103,0.0003,0.1,80,8,0.2,0.003,0.2,0,0,0,0.25,464.57,472.06,7.48,1.52,455,960.11
104,0.000175,0.1,80,4,0.5,0.003,0.2,0,0,0,0.25,541.29,551.62,10.32,1.45,630,1078.55
105,0.000225,0.1,80,4,0.5,0.003,0.2,0,0,0,0.25,542.83,551.85,9.03,1.35,553,990.95
106,0.00025,0.1,80,4,0.5,0.003,0.2,0,0,0,0.25,512.18,521.08,8.90,1.28,539,969.52
107,0.0003,0.1,80,4,0.5,0.003,0.2,0,0,0,0.25,564.23,572.36,8.14,1.44,490,1126.71
108,0.000175,0.1,80,8,0.5,0.003,0.2,0,0,0,0.25,548.36,558.70,10.33,1.35,629,1031.60
109,0.000225,0.1,80,8,0.5,0.003,0.2,0,0,0,0.25,487.01,496.25,9.24,1.11,561,859.21
110,0.00025,0.1,80,8,0.5,0.003,0.2,0,0,0,0.25,523.14,531.78,8.65,1.21,531,946.10
111,0.0003,0.1,80,8,0.5,0.003,0.2,0,0,0,0.25,538.60,546.59,7.99,1.48,487,1101.18
112,0.000175,0.1,80,4,0.7,0.003,0.2,0,0,0,0.25,519.09,529.50,10.41,1.26,639,1001.91
113,0.000225,0.1,80,4,0.7,0.003,0.2,0,0,0,0.25,533.99,543.69,9.70,1.45,579,1098.46
114,0.00025,0.1,80,4,0.7,0.003,0.2,0,0,0,0.25,517.69,526.83,9.14,1.27,557,950.23
115,0.0003,0.1,80,4,0.7,0.003,0.2,0,0,0,0.25,562.72,571.16,8.43,1.42,509,1026.69
116,0.000175,0.1,80,8,0.7,0.003,0.2,0,0,0,0.25,523.87,534.51,10.64,1.45,651,1006.24
117,0.000225,0.1,80,8,0.7,0.003,0.2,0,0,0,0.25,520.70,530.29,9.58,1.19,577,1020.91
118,0.00025,0.1,80,8,0.7,0.003,0.2,0,0,0,0.25,550.07,559.29,9.22,1.23,550,1005.21
119,0.0003,0.1,80,8,0.7,0.003,0.2,0,0,0,0.25,538.01,546.35,8.34,1.25,507,915.68
120,0.000175,0.1,80,4,0.2,0.0045,0.2,0,0,0,0.25,521.22,530.86,9.63,1.41,605,1102.23
121,0.000225,0.1,80,4,0.2,0.0045,0.2,0,0,0,0.25,473.28,481.76,8.47,1.16,530,943.11
122,0.00025,0.1,80,4,0.2,0.0045,0.2,0,0,0,0.25,463.68,471.74,8.06,1.08,501,744.27
123,0.0003,0.1,80,4,0.2,0.0045,0.2,0,0,0,0.25,457.09,464.33,7.24,1.18,457,933.11
124,0.000175,0.1,80,8,0.2,0.0045,0.2,0,0,0,0.25,505.10,514.62,9.52,1.28,596,1056.25
125,0.000225,0.1,80,8,0.2,0.0045,0.2,0,0,0,0.25,529.88,538.37,8.49,1.42,532,1114.96
126,0.00025,0.1,80,8,0.2,0.0045,0.2,0,0,0,0.25,483.85,491.97,8.11,1.20,502,914.54
127,0.0003,0.1,80,8,0.2,0.0045,0.2,0,0,0,0.25,450.20,457.44,7.24,1.13,452,846.50
128,0.000175,0.1,80,4,0.5,0.0045,0.2,0,0,0,0.25,523.94,533.94,10.00,1.50,628,1057.20
129,0.000225,0.1,80,4,0.5,0.0045,0.2,0,0,0,0.25,486.44,495.24,8.80,1.14,552,868.39
130,0.00025,0.1,80,4,0.5,0.0045,0.2,0,0,0,0.25,468.39,476.81,8.42,1.04,532,843.82
131,0.0003,0.1,80,4,0.5,0.0045,0.2,0,0,0,0.25,494.03,501.78,7.75,1.22,489,940.13
132,0.000175,0.1,80,8,0.5,0.0045,0.2,0,0,0,0.25,538.17,548.22,10.05,1.50,627,1044.29
133,0.000225,0.1,80,8,0.5,0.0045,0.2,0,0,0,0.25,491.66,500.42,8.76,1.21,552,881.91
134,0.00025,0.1,80,8,0.5,0.0045,0.2,0,0,0,0.25,486.12,494.68,8.56,1.13,532,911.98
135,0.0003,0.1,80,8,0.5,0.0045,0.2,0,0,0,0.25,501.88,509.56,7.68,1.32,482,916.83
136,0.000175,0.1,80,4,0.7,0.0045,0.2,0,0,0,0.25,516.44,526.67,10.23,1.28,641,1049.28
137,0.000225,0.1,80,4,0.7,0.0045,0.2,0,0,0,0.25,495.15,504.35,9.21,1.15,577,902.80
138,0.00025,0.1,80,4,0.7,0.0045,0.2,0,0,0,0.25,509.06,517.84,8.78,1.33,555,925.71
139,0.0003,0.1,80,4,0.7,0.0045,0.2,0,0,0,0.25,491.64,499.64,8.00,1.26,505,988.06
140,0.000175,0.1,80,8,0.7,0.0045,0.2,0,0,0,0.25,560.71,570.99,10.28,1.28,645,1092.76
