variant  place_thresh  pred_momentum_coef  curv_impulse_coef  premium_ema_coef  premium_tdc_s  per_order_widen_frac  avg_pnl  avg_closed_pnl  avg_comm  sharpe  num_trds  sim_score
9        5e-05         0.7                 0                  0                 120            0.1                   2483.18  2539.43         56.25     0.62    673       2769.75
395      0.00015       0.7                 0                  0                 120            1                     1701.64  1731.82         30.17     0.88    364       2769.93
379      0.0001        0.5                 5                  0.8               120            0.5                   1793.70  1820.78         27.08     0.94    338       2773.28
407      0.00015       0.7                 1                  0                 120            1                     1537.94  1563.09         25.15     0.95    310       2774.18
509      0.00015       0.2                 3                  0.5               120            1                     1291.87  1313.60         21.73     1.01    268       2775.95
110      0.00015       0                   1                  0.5               120            0.1                   1800.48  1833.69         33.21     0.57    405       2777.87
256      0.0001        0.2                 1                  0.2               120            0.5                   2314.21  2354.02         39.81     0.75    501       2781.46
563      0.00015       0.7                 3                  0.8               120            1                     1162.38  1181.17         18.80     1.09    228       2782.75
4        0.0001        0.2                 0                  0                 120            0.1                   2708.35  2759.93         51.58     0.59    620       2783.69
344      0.00015       0.5                 0                  0.8               120            0.5                   1758.14  1786.93         28.79     0.85    348       2785.73
250      0.0001        0.7                 0                  0.2               120            0.5                   2296.59  2339.88         43.29     0.70    544       2792.45
195      5e-05         0.2                 0                  0                 120            0.5                   2752.34  2813.56         61.22     0.67    731       2795.97
308      0.00015       0.5                 1                  0.5               120            0.5                   1670.59  1695.78         25.18     0.93    311       2799.02
168      5e-05         0                   3                  0.8               120            0.1                   2038.30  2097.43         59.13     0.60    721       2804.40
295      0.0001        0.5                 0                  0.5               120            0.5                   2286.83  2329.94         43.11     0.70    541       2805.33
385      0.0001        0                   0                  0                 120            1                     2229.99  2278.62         48.63     0.79    601       2808.12
223      0.0001        0.5                 3                  0                 120            0.5                   2038.68  2070.51         31.83     0.81    404       2815.83
426      5e-05         0.5                 5                  0                 120            1                     2073.83  2111.92         38.09     0.92    477       2819.97
393      5e-05         0.7                 0                  0                 120            1                     2574.29  2626.99         52.70     0.75    646       2821.91
211      0.0001        0.5                 1                  0                 120            0.5                   2313.77  2351.49         37.72     0.77    476       2830.94
247      0.0001        0.5                 0                  0.2               120            0.5                   2287.50  2331.80         44.30     0.69    555       2833.41
