variant,place_thresh,cancel_buffer,front_rung_spacing_mult,max_pos,pred_momentum_coef,premium_ema_coef,per_order_widen_frac,avg_pnl,avg_closed_pnl,avg_comm,sharpe,num_trds,sim_score
75,0.00025,0.1,1,80,0,0.1,0.1,184.35,189.56,5.21,0.47,319,37.03
76,0.0003,0.1,1,80,0,0.1,0.1,146.71,150.92,4.21,0.35,254,6.94
77,0.0005,0.1,1,80,0,0.1,0.1,-9.41,-7.08,2.33,-0.04,131,53.57
78,0.00025,0.1,0.25,100,0,0.1,0.1,221.31,228.01,6.70,0.47,420,308.94
79,0.0003,0.1,0.25,100,0,0.1,0.1,186.40,191.99,5.58,0.41,351,268.61
80,0.0005,0.1,0.25,100,0,0.1,0.1,32.39,35.74,3.35,0.07,200,-7.13
81,0.00025,0.1,1,100,0,0.1,0.1,138.19,143.45,5.26,0.30,327,84.01
82,0.0003,0.1,1,100,0,0.1,0.1,22.60,26.94,4.35,0.06,260,-7.53
83,0.0005,0.1,1,100,0,0.1,0.1,-39.50,-37.26,2.23,-0.10,123,-50.83
84,0.00025,0.1,0.25,140,0,0.1,0.1,123.39,130.33,6.94,0.17,437,102.79
85,0.0003,0.1,0.25,140,0,0.1,0.1,21.78,27.64,5.85,0.03,361,18.30
86,0.0005,0.1,0.25,140,0,0.1,0.1,-122.52,-119.09,3.43,-0.17,201,-76.11
87,0.00025,0.1,1,140,0,0.1,0.1,-18.02,-12.65,5.36,-0.03,327,30.18
88,0.0003,0.1,1,140,0,0.1,0.1,-63.16,-58.76,4.39,-0.10,263,15.55
89,0.0005,0.1,1,140,0,0.1,0.1,-160.04,-157.57,2.47,-0.26,132,-77.37
90,0.00025,0.1,0.25,80,0.2,0.1,0.1,382.75,388.57,5.82,0.90,364,593.93
91,0.0003,0.1,0.25,80,0.2,0.1,0.1,243.62,248.71,5.09,0.63,312,248.82
92,0.0005,0.1,0.25,80,0.2,0.1,0.1,128.25,131.39,3.13,0.39,182,89.63
93,0.00025,0.1,1,80,0.2,0.1,0.1,201.55,206.23,4.68,0.56,281,33.16
94,0.0003,0.1,1,80,0.2,0.1,0.1,127.86,131.82,3.97,0.42,235,2.12
95,0.0005,0.1,1,80,0.2,0.1,0.1,36.54,38.80,2.26,0.15,125,46.33
96,0.00025,0.1,0.25,100,0.2,0.1,0.1,357.92,363.95,6.02,0.72,379,656.54
97,0.0003,0.1,0.25,100,0.2,0.1,0.1,201.60,206.79,5.19,0.47,321,150.84
98,0.0005,0.1,0.25,100,0.2,0.1,0.1,13.52,16.73,3.20,0.03,191,-35.74
99,0.00025,0.1,1,100,0.2,0.1,0.1,148.43,153.34,4.90,0.41,293,63.86
100,0.0003,0.1,1,100,0.2,0.1,0.1,62.18,66.21,4.03,0.15,238,-93.96
101,0.0005,0.1,1,100,0.2,0.1,0.1,-74.64,-72.26,2.38,-0.18,126,-167.70
102,0.00025,0.1,0.25,140,0.2,0.1,0.1,133.89,140.14,6.25,0.20,376,61.19
103,0.0003,0.1,0.25,140,0.2,0.1,0.1,40.19,45.78,5.59,0.06,336,-46.11
104,0.0005,0.1,0.25,140,0.2,0.1,0.1,-71.15,-67.88,3.28,-0.10,189,-47.85
105,0.00025,0.1,1,140,0.2,0.1,0.1,-51.24,-46.37,4.88,-0.08,294,-74.94
106,0.0003,0.1,1,140,0.2,0.1,0.1,-20.04,-16.04,3.99,-0.03,241,-84.58
107,0.0005,0.1,1,140,0.2,0.1,0.1,-13.91,-11.46,2.44,-0.02,130,-25.97
108,0.00025,0.1,0.25,80,0.5,0.1,0.1,338.75,344.29,5.54,0.93,331,482.44
109,0.0003,0.1,0.25,80,0.5,0.1,0.1,318.76,323.49,4.73,1.10,288,554.99
110,0.0005,0.1,0.25,80,0.5,0.1,0.1,145.07,148.06,3.00,0.49,174,97.29
111,0.00025,0.1,1,80,0.5,0.1,0.1,232.70,237.09,4.40,0.68,250,273.06
112,0.0003,0.1,1,80,0.5,0.1,0.1,99.75,103.40,3.65,0.32,214,-25.41
113,0.0005,0.1,1,80,0.5,0.1,0.1,15.85,18.17,2.32,0.07,117,-84.74
114,0.00025,0.1,0.25,100,0.5,0.1,0.1,267.03,272.75,5.72,0.55,340,136.08
115,0.0003,0.1,0.25,100,0.5,0.1,0.1,285.30,290.14,4.84,0.66,295,281.96
116,0.0005,0.1,0.25,100,0.5,0.1,0.1,8.27,11.51,3.25,0.02,184,-34.20
117,0.00025,0.1,1,100,0.5,0.1,0.1,163.00,167.63,4.62,0.38,276,10.60
118,0.0003,0.1,1,100,0.5,0.1,0.1,31.71,35.66,3.96,0.09,226,-100.68
119,0.0005,0.1,1,100,0.5,0.1,0.1,-66.07,-63.78,2.29,-0.16,118,-127.24
120,0.00025,0.1,0.25,140,0.5,0.1,0.1,44.01,49.77,5.76,0.06,349,-23.15
121,0.0003,0.1,0.25,140,0.5,0.1,0.1,54.68,59.65,4.97,0.09,302,-2.84
122,0.0005,0.1,0.25,140,0.5,0.1,0.1,-36.01,-32.70,3.30,-0.06,185,-0.07
123,0.00025,0.1,1,140,0.5,0.1,0.1,-68.36,-63.73,4.63,-0.12,269,-130.41
124,0.0003,0.1,1,140,0.5,0.1,0.1,-116.83,-113.10,3.73,-0.18,213,-119.53
125,0.0005,0.1,1,140,0.5,0.1,0.1,-140.61,-138.23,2.37,-0.22,126,-88.78
126,0.00025,0.1,0.25,80,1,0.1,0.1,341.03,346.47,5.45,0.83,312,438.18
127,0.0003,0.1,0.25,80,1,0.1,0.1,291.16,295.88,4.71,0.73,275,386.18
128,0.0005,0.1,0.25,80,1,0.1,0.1,80.78,83.67,2.88,0.24,162,37.13
129,0.00025,0.1,1,80,1,0.1,0.1,208.60,212.76,4.16,0.56,244,185.17
130,0.0003,0.1,1,80,1,0.1,0.1,174.67,178.23,3.56,0.58,206,72.05
131,0.0005,0.1,1,80,1,0.1,0.1,31.62,33.69,2.07,0.14,108,48.76
132,0.00025,0.1,0.25,100,1,0.1,0.1,256.37,261.57,5.20,0.53,311,137.48
133,0.0003,0.1,0.25,100,1,0.1,0.1,208.54,213.29,4.75,0.48,286,144.08
134,0.0005,0.1,0.25,100,1,0.1,0.1,43.63,46.55,2.92,0.11,166,68.47
135,0.00025,0.1,1,100,1,0.1,0.1,132.78,137.25,4.47,0.36,256,-16.67
136,0.0003,0.1,1,100,1,0.1,0.1,68.56,72.37,3.81,0.18,214,-33.32
137,0.0005,0.1,1,100,1,0.1,0.1,18.70,20.92,2.22,0.06,113,13.87
138,0.00025,0.1,0.25,140,1,0.1,0.1,47.41,52.79,5.38,0.08,325,53.17
139,0.0003,0.1,0.25,140,1,0.1,0.1,-30.84,-26.05,4.79,-0.05,283,-77.97
140,0.0005,0.1,0.25,140,1,0.1,0.1,-54.24,-51.23,3.01,-0.09,165,-58.45
141,0.00025,0.1,1,140,1,0.1,0.1,-2.44,2.13,4.57,-0.00,265,-18.05
142,0.0003,0.1,1,140,1,0.1,0.1,-108.21,-104.31,3.90,-0.27,218,-139.31
143,0.0005,0.1,1,140,1,0.1,0.1,-183.53,-181.26,2.27,-0.34,119,-226.49
144,0.00025,0.1,0.25,80,0,0.5,0.1,405.36,411.76,6.40,0.91,406,600.60
145,0.0003,0.1,0.25,80,0,0.5,0.1,338.87,344.31,5.44,1.00,343,828.30
146,0.0005,0.1,0.25,80,0,0.5,0.1,87.96,91.22,3.26,0.23,194,36.88
147,0.00025,0.1,1,80,0,0.5,0.1,209.99,215.25,5.26,0.62,320,141.61
148,0.0003,0.1,1,80,0,0.5,0.1,157.12,161.27,4.15,0.45,258,65.45
149,0.0005,0.1,1,80,0,0.5,0.1,20.35,22.62,2.27,0.05,124,-65.77
150,0.00025,0.1,0.25,100,0,0.5,0.1,276.46,283.13,6.68,0.56,422,380.47
151,0.0003,0.1,0.25,100,0,0.5,0.1,188.76,194.35,5.60,0.37,356,257.47
152,0.0005,0.1,0.25,100,0,0.5,0.1,10.92,14.22,3.31,0.02,195,-7.55
153,0.00025,0.1,1,100,0,0.5,0.1,101.38,106.64,5.25,0.24,318,72.04
154,0.0003,0.1,1,100,0,0.5,0.1,58.62,63.05,4.44,0.15,261,-14.65
155,0.0005,0.1,1,100,0,0.5,0.1,-16.16,-13.75,2.42,-0.04,131,-56.31
156,0.00025,0.1,0.25,140,0,0.5,0.1,116.65,123.47,6.82,0.18,426,18.86
157,0.0003,0.1,0.25,140,0,0.5,0.1,-14.58,-8.85,5.73,-0.02,360,-54.35
158,0.0005,0.1,0.25,140,0,0.5,0.1,-98.93,-95.55,3.38,-0.13,198,-113.99
159,0.00025,0.1,1,140,0,0.5,0.1,16.59,21.73,5.14,0.03,319,-5.24
160,0.0003,0.1,1,140,0,0.5,0.1,-45.39,-40.96,4.42,-0.08,263,-38.46
161,0.0005,0.1,1,140,0,0.5,0.1,-121.35,-118.91,2.44,-0.20,131,-44.89
162,0.00025,0.1,0.25,80,0.2,0.5,0.1,393.14,399.09,5.95,0.75,364,521.13
163,0.0003,0.1,0.25,80,0.2,0.5,0.1,298.16,303.39,5.24,0.84,319,604.87
164,0.0005,0.1,0.25,80,0.2,0.5,0.1,134.30,137.46,3.16,0.42,182,91.89
165,0.00025,0.1,1,80,0.2,0.5,0.1,155.51,160.39,4.88,0.45,289,76.00
166,0.0003,0.1,1,80,0.2,0.5,0.1,163.26,167.25,3.99,0.45,233,44.38
167,0.0005,0.1,1,80,0.2,0.5,0.1,8.95,11.30,2.35,0.03,125,21.80
168,0.00025,0.1,0.25,100,0.2,0.5,0.1,316.90,322.91,6.01,0.63,375,343.20
169,0.0003,0.1,0.25,100,0.2,0.5,0.1,224.10,229.38,5.28,0.45,322,163.73
170,0.0005,0.1,0.25,100,0.2,0.5,0.1,38.40,41.61,3.22,0.09,188,11.36
171,0.00025,0.1,1,100,0.2,0.5,0.1,182.57,187.57,5.00,0.41,299,54.01
172,0.0003,0.1,1,100,0.2,0.5,0.1,37.30,41.14,3.83,0.09,231,-47.16
173,0.0005,0.1,1,100,0.2,0.5,0.1,-7.06,-4.47,2.60,-0.02,132,-44.66
174,0.00025,0.1,0.25,140,0.2,0.5,0.1,142.29,148.35,6.06,0.22,378,25.67
175,0.0003,0.1,0.25,140,0.2,0.5,0.1,37.19,42.49,5.30,0.06,327,-36.69
176,0.0005,0.1,0.25,140,0.2,0.5,0.1,-108.80,-105.59,3.21,-0.16,183,-35.66
177,0.00025,0.1,1,140,0.2,0.5,0.1,-1.94,2.83,4.77,-0.00,292,-99.03
178,0.0003,0.1,1,140,0.2,0.5,0.1,-100.31,-96.29,4.01,-0.15,229,-68.04
179,0.0005,0.1,1,140,0.2,0.5,0.1,-158.03,-155.56,2.46,-0.22,132,-133.88
180,0.00025,0.1,0.25,80,0.5,0.5,0.1,409.84,415.28,5.44,0.93,331,737.61
181,0.0003,0.1,0.25,80,0.5,0.5,0.1,298.21,302.96,4.76,0.85,286,435.81
182,0.0005,0.1,0.25,80,0.5,0.5,0.1,153.53,156.65,3.13,0.52,179,176.39
183,0.00025,0.1,1,80,0.5,0.5,0.1,181.22,185.64,4.41,0.51,259,98.86
184,0.0003,0.1,1,80,0.5,0.5,0.1,94.41,98.24,3.82,0.27,219,-42.79
185,0.0005,0.1,1,80,0.5,0.5,0.1,1.36,3.67,2.31,0.01,122,-52.98
186,0.00025,0.1,0.25,100,0.5,0.5,0.1,249.44,255.00,5.56,0.53,333,167.97
187,0.0003,0.1,0.25,100,0.5,0.5,0.1,280.67,285.64,4.97,0.64,301,259.58
188,0.0005,0.1,0.25,100,0.5,0.5,0.1,81.73,84.82,3.09,0.18,180,40.60
189,0.00025,0.1,1,100,0.5,0.5,0.1,118.17,122.84,4.66,0.25,271,-25.71
190,0.0003,0.1,1,100,0.5,0.5,0.1,46.66,50.46,3.80,0.13,217,22.08
191,0.0005,0.1,1,100,0.5,0.5,0.1,-45.76,-43.53,2.23,-0.13,115,-21.56
192,0.00025,0.1,0.25,140,0.5,0.5,0.1,91.99,97.71,5.72,0.16,350,55.04
193,0.0003,0.1,0.25,140,0.5,0.5,0.1,116.55,121.72,5.17,0.21,306,92.72
194,0.0005,0.1,0.25,140,0.5,0.5,0.1,-46.81,-43.67,3.14,-0.07,179,2.99
195,0.00025,0.1,1,140,0.5,0.5,0.1,-83.45,-78.87,4.59,-0.14,268,-154.14
196,0.0003,0.1,1,140,0.5,0.5,0.1,-94.22,-90.46,3.76,-0.15,216,-153.24
197,0.0005,0.1,1,140,0.5,0.5,0.1,-165.31,-163.05,2.26,-0.28,118,-123.33
198,0.00025,0.1,0.25,80,1,0.5,0.1,389.79,395.04,5.24,1.11,311,718.76
199,0.0003,0.1,0.25,80,1,0.5,0.1,295.64,300.16,4.53,0.78,271,300.40
200,0.0005,0.1,0.25,80,1,0.5,0.1,91.26,94.20,2.94,0.35,165,-33.03
201,0.00025,0.1,1,80,1,0.5,0.1,195.88,200.24,4.37,0.59,245,175.15
202,0.0003,0.1,1,80,1,0.5,0.1,112.42,115.93,3.51,0.40,202,9.58
203,0.0005,0.1,1,80,1,0.5,0.1,29.05,31.21,2.17,0.11,111,-51.43
204,0.00025,0.1,0.25,100,1,0.5,0.1,180.23,185.43,5.19,0.43,312,87.98
205,0.0003,0.1,0.25,100,1,0.5,0.1,221.67,226.37,4.70,0.59,277,128.28
206,0.0005,0.1,0.25,100,1,0.5,0.1,35.77,38.60,2.83,0.09,161,-28.15
207,0.00025,0.1,1,100,1,0.5,0.1,132.16,136.49,4.34,0.35,255,42.98
208,0.0003,0.1,1,100,1,0.5,0.1,123.17,126.97,3.80,0.35,216,39.26
209,0.0005,0.1,1,100,1,0.5,0.1,-43.66,-41.43,2.23,-0.11,118,-49.38
210,0.00025,0.1,0.25,140,1,0.5,0.1,184.28,189.81,5.53,0.31,330,100.93
211,0.0003,0.1,0.25,140,1,0.5,0.1,-0.74,4.00,4.74,-0.00,283,-64.74
212,0.0005,0.1,0.25,140,1,0.5,0.1,-14.38,-11.37,3.02,-0.02,168,-29.55
213,0.00025,0.1,1,140,1,0.5,0.1,-55.94,-51.48,4.46,-0.10,264,-87.31
214,0.0003,0.1,1,140,1,0.5,0.1,-78.74,-75.03,3.71,-0.18,211,-48.96
215,0.0005,0.1,1,140,1,0.5,0.1,-181.47,-179.30,2.17,-0.33,116,-181.98
216,0.00025,0.1,0.25,80,0,0.8,0.1,343.17,349.78,6.60,0.86,410,481.66
217,0.0003,0.1,0.25,80,0,0.8,0.1,312.44,317.98,5.54,0.89,343,491.36
218,0.0005,0.1,0.25,80,0,0.8,0.1,118.61,121.86,3.26,0.38,200,135.96
219,0.00025,0.1,1,80,0,0.8,0.1,224.60,229.83,5.22,0.57,314,169.12
220,0.0003,0.1,1,80,0,0.8,0.1,134.10,138.38,4.28,0.37,259,4.97
221,0.0005,0.1,1,80,0,0.8,0.1,36.17,38.70,2.53,0.15,137,-21.00
