ticker,shock_et,session,venue,is_earnings,earnings_date,bucket,is_shock,close,ret_pct,cum_pct,notional,shares,prev_day_notional,vs_prev,vs_base,baseline,hl_ret_pct,hl_peak_nsig
BB,2026-06-02 17:15,postmarket,XNAS.BASIC,False,,17:15,True,11.33,3.6444802224743,5.004633920296575,1642680.2163,147524.0,119407.63690000001,13.756910855506595,0.6716809218958761,2445625.8362428937,7.27986846912676,6.971936812703256
BB,2026-06-02 17:15,postmarket,XNAS.BASIC,False,,17:20,False,11.5493,1.935569285083849,7.037071362372571,4178045.0311000003,361481.0,44536.9092,93.81084377314626,1.7083745882888386,2445625.8362428937,7.27986846912676,6.971936812703256
BB,2026-06-02 17:15,postmarket,XNAS.BASIC,False,,17:25,False,11.34,-1.8122310443057232,5.097312326227987,1646327.8669999999,144384.0,2896120.7489000005,0.5684596775273631,0.6731724217998859,2445625.8362428937,7.27986846912676,6.971936812703256
BB,2026-06-03 16:30,postmarket,XNAS.BASIC,False,,16:20,False,10.0,,0.0,166963.49,16669.0,1036416.0,0.1610969822928245,0.05624475064221046,2968516.8499031006,-4.024650342479797,7.172502455010097
BB,2026-06-03 16:30,postmarket,XNAS.BASIC,False,,16:25,False,9.75,-2.500000000000002,-2.500000000000002,428658.1,43565.0,628760.1708,0.6817513575241239,0.1444014373757024,2968516.8499031006,-4.024650342479797,7.172502455010097
BB,2026-06-03 16:30,postmarket,XNAS.BASIC,False,,16:30,True,9.43,-3.2820512820512904,-5.700000000000005,1017252.1814,106390.0,787223.6,1.292202344289475,0.34268027868300815,2968516.8499031006,-4.024650342479797,7.172502455010097
BB,2026-06-03 16:30,postmarket,XNAS.BASIC,False,,16:35,False,9.38,-0.5302226935312682,-6.199999999999994,1675270.2,178189.0,697761.8271,2.4009198195359405,0.5643458618247981,2968516.8499031006,-4.024650342479797,7.172502455010097
BB,2026-06-03 16:30,postmarket,XNAS.BASIC,False,,16:40,False,9.4199,0.4253731343283551,-5.801,1290927.3978,137657.0,234500.3445,5.50501279881915,0.4348728550562678,2968516.8499031006,-4.024650342479797,7.172502455010097
BB,2026-06-24 21:05,overnight,OCEA.MEMOIR,False,,20:55,False,9.32,,0.0,561599.59,60252.0,0.0,,0.5100801698847908,1101002.593625323,-2.7903751320887515,5.674974587699829
BB,2026-06-24 21:05,overnight,OCEA.MEMOIR,False,,21:00,False,9.07,-2.682403433476399,-2.682403433476399,513693.97,56287.0,0.0,,0.46656926420902944,1101002.593625323,-2.7903751320887515,5.674974587699829
BB,2026-06-24 21:05,overnight,OCEA.MEMOIR,False,,21:05,True,8.81,-2.866593164277842,-5.4721030042918395,848735.8400000001,94820.0,0.0,,0.7708754229227814,1101002.593625323,-2.7903751320887515,5.674974587699829
BB,2026-06-24 21:05,overnight,OCEA.MEMOIR,False,,21:10,False,8.56,-2.8376844494892195,-8.154506437768239,304215.5,35094.0,0.0,,0.2763077051419973,1101002.593625323,-2.7903751320887515,5.674974587699829
BB,2026-06-24 21:05,overnight,OCEA.MEMOIR,False,,21:15,False,8.85,3.3878504672897103,-5.04291845493563,317792.44999999995,36177.0,0.0,,0.28863914748246855,1101002.593625323,-2.7903751320887515,5.674974587699829
BB,2026-06-29 08:35,premarket,XNAS.BASIC,False,,08:25,False,11.3801,,0.0,98735.1531,8672.0,236373.3733,0.4177084403440292,0.025873491364718424,3816073.8227480617,-2.677151440183767,5.365022362124175
BB,2026-06-29 08:35,premarket,XNAS.BASIC,False,,08:30,False,11.35,-0.2644967970404588,-0.2644967970404588,179041.405,15780.0,60603.090000000004,2.954327988886375,0.046917699530002084,3816073.8227480617,-2.677151440183767,5.365022362124175
BB,2026-06-29 08:35,premarket,XNAS.BASIC,False,,08:35,True,11.0848,-2.336563876651987,-2.5948805370778927,760376.0028,67965.0,52563.37,14.465891414496445,0.19925610407935765,3816073.8227480617,-2.677151440183767,5.365022362124175
BB,2026-06-29 08:35,premarket,XNAS.BASIC,False,,08:40,False,11.22,1.2196882217090144,-1.4068417676470268,1209260.98,109191.0,178486.788,6.775072785779527,0.3168861600086073,3816073.8227480617,-2.677151440183767,5.365022362124175
BB,2026-06-29 08:35,premarket,XNAS.BASIC,False,,08:45,False,11.25,0.2673796791443861,-1.1432236975070564,328497.5666,29198.0,159102.55880000003,2.0646906566282075,0.08608260265872941,3816073.8227480617,-2.677151440183767,5.365022362124175
BB,2026-06-25 07:00,premarket,XNAS.BASIC,True,2026-06-25,06:50,False,9.19,,0.0,56673.52,6168.0,0.0,,0.02544913549088021,2226933.013905685,2.742611404875261,5.349276653718742
BB,2026-06-25 07:00,premarket,XNAS.BASIC,True,2026-06-25,06:55,False,9.09,-1.088139281828071,-1.088139281828071,91523.439,10036.0,10289.880000000001,8.894509848511351,0.04109842479701825,2226933.013905685,2.742611404875261,5.349276653718742
BB,2026-06-25 07:00,premarket,XNAS.BASIC,True,2026-06-25,07:00,True,9.34,2.7502750275027577,1.6322089227421177,1644056.0068,177188.0,126530.45999999999,12.993361494141412,0.7382601975604952,2226933.013905685,2.742611404875261,5.349276653718742
BB,2026-06-25 07:00,premarket,XNAS.BASIC,True,2026-06-25,07:05,False,9.32,-0.21413276231262435,1.414581066376508,941180.4904,99700.0,107166.54999999999,8.782409160321015,0.42263529460606436,2226933.013905685,2.742611404875261,5.349276653718742
BB,2026-06-25 07:00,premarket,XNAS.BASIC,True,2026-06-25,07:10,False,9.19,-1.3948497854077369,0.0,409350.2707,44353.0,46967.6458,8.715579921614891,0.18381795417459143,2226933.013905685,2.742611404875261,5.349276653718742
BE,2026-07-01 09:25,premarket,XNAS.BASIC,False,,09:15,False,302.99,,0.0,14141715.01,46952.0,5439349.5046999995,2.5998908505108034,0.6403441249663466,22084554.942614987,-4.000402387499169,5.208487849649376
BE,2026-07-01 09:25,premarket,XNAS.BASIC,False,,09:20,False,297.41,-1.841644938776854,-1.841644938776854,15476455.2044,52052.0,3012546.9,5.137332535603014,0.7007818470697904,22084554.942614987,-4.000402387499169,5.208487849649376
BE,2026-07-01 09:25,premarket,XNAS.BASIC,False,,09:25,True,293.41,-1.344944689149663,-3.1618205221294327,13162199.780000001,44407.0,1215406.0444,10.829467107428844,0.5959911718484235,22084554.942614987,-4.000402387499169,5.208487849649376
BE,2026-07-01 09:25,premarket,XNAS.BASIC,False,,09:30,False,303.3652,3.3929313929313976,0.12383246971847672,134561771.7436,442789.0,65252545.47,2.062168928037682,6.093026193792376,22084554.942614987,-4.000402387499169,5.208487849649376
BE,2026-07-01 09:25,premarket,XNAS.BASIC,False,,09:35,False,306.3187,0.9735790393888166,1.098617116076439,111831696.126,365428.0,70642211.67,1.5830718416407135,5.063796685809881,22084554.942614987,-4.000402387499169,5.208487849649376
BOT,2026-07-02 04:25,premarket,XNAS.BASIC,False,,04:15,False,38.9,,0.0,77.89,2.0,0.0,,0.00016658917313706293,467557.39603746764,-7.329693187727515,6.202756758522952
BOT,2026-07-02 04:25,premarket,XNAS.BASIC,False,,04:20,False,38.4,-1.285347043701801,-1.285347043701801,9068.840000000002,235.0,15475.970000000001,0.5859949327893503,0.019396206918889745,467557.39603746764,-7.329693187727515,6.202756758522952
BOT,2026-07-02 04:25,premarket,XNAS.BASIC,False,,04:25,True,37.0,-3.645833333333326,-4.884318766066831,62917.4,1689.0,53152.22,1.183721018614086,0.1345661528043888,467557.39603746764,-7.329693187727515,6.202756758522952
BOT,2026-07-02 04:25,premarket,XNAS.BASIC,False,,04:30,False,34.12,-7.783783783783793,-12.287917737789211,149867.40999999997,4362.0,0.0,,0.32053264747840793,467557.39603746764,-7.329693187727515,6.202756758522952
BOT,2026-07-02 04:25,premarket,XNAS.BASIC,False,,04:35,False,35.24,3.282532239155933,-9.40874035989716,8601.44,246.0,793.0752,10.845680207879404,0.018396543553576308,467557.39603746764,-7.329693187727515,6.202756758522952
CBRS,2026-05-15 05:45,premarket,XNAS.BASIC,False,,05:35,False,310.1661,,0.0,1262499.5334,4057.0,0.0,,0.011006303555070235,114706951.98283978,-2.796228493665553,6.288796465908246
CBRS,2026-05-15 05:45,premarket,XNAS.BASIC,False,,05:40,False,307.77,-0.7725215618341275,-0.7725215618341275,909258.7042,2941.0,0.0,,0.007926796837353202,114706951.98283978,-2.796228493665553,6.288796465908246
CBRS,2026-05-15 05:45,premarket,XNAS.BASIC,False,,05:45,True,299.0,-2.8495304935503674,-3.600038817910778,12730736.174,42962.0,0.0,,0.11098487017512701,114706951.98283978,-2.796228493665553,6.288796465908246
CBRS,2026-05-15 05:45,premarket,XNAS.BASIC,False,,05:50,False,300.0,0.33444816053511683,-3.277630920980712,4073433.02,13729.0,0.0,,0.035511649028991614,114706951.98283978,-2.796228493665553,6.288796465908246
CBRS,2026-05-15 05:45,premarket,XNAS.BASIC,False,,05:55,False,302.03,0.6766666666666588,-2.623142890212693,2651491.1999999997,8778.0,0.0,,0.023115348757559735,114706951.98283978,-2.796228493665553,6.288796465908246
CBRS,2026-07-01 09:25,premarket,XNAS.BASIC,False,,09:15,False,209.79,,0.0,7074598.4656,33936.0,519373.4127,13.621410516226065,0.5670726422302471,12475647.630921187,3.380375703251648,7.371857198504241
CBRS,2026-07-01 09:25,premarket,XNAS.BASIC,False,,09:20,False,209.89,0.0476667143333831,0.0476667143333831,798481.35,3806.0,208505.3565,3.8295483790125076,0.06400319836069633,12475647.630921187,3.380375703251648,7.371857198504241
CBRS,2026-07-01 09:25,premarket,XNAS.BASIC,False,,09:25,True,216.0,2.9110486445280914,2.9601029601029616,6895325.3728,32183.0,3457583.83,1.9942612274421703,0.5527027996293975,12475647.630921187,3.380375703251648,7.371857198504241
